instance,method,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,n,3,0.0,67,0.7681159420289855,0.7971014492753623,0.6714285714285714,3.6939663887023926,0.0
breast-cancer,rb,3,0.0,67,0.7922705314009661,,0.6857142857142857,2.8789584636688232,0.0
breast-cancer,cp,3,0.0,67,0.7922705314009661,,0.6857142857142857,3.527346611022949,0.0
breast-cancer,n,3,0.01,67,0.7681159420289855,0.7971014492753623,0.6714285714285714,3.956362247467041,0.0
breast-cancer,rb,3,0.01,67,0.7874396135265701,,0.7,5.577958822250366,0.0
breast-cancer,cp,3,0.01,67,0.7874396135265701,,0.7,3.7451913356781006,0.0
breast-cancer,n,3,0.1,67,0.6884057971014492,0.7971014492753623,0.6571428571428571,0.6525888442993164,0.0
breast-cancer,rb,3,0.1,67,0.7246376811594203,,0.6571428571428571,0.9715828895568848,0.0
breast-cancer,cp,3,0.1,67,0.7246376811594203,,0.6571428571428571,1.8570318222045898,0.0
breast-cancer,n,3,0.0,78,0.8260869565217391,0.6376811594202898,0.6571428571428571,1.6738951206207275,0.0
breast-cancer,rb,3,0.0,78,0.782608695652174,,0.7428571428571429,4.918856143951416,0.0
breast-cancer,cp,3,0.0,78,0.782608695652174,,0.7428571428571429,7.446946144104004,0.0
breast-cancer,n,3,0.01,78,0.8188405797101449,0.6956521739130435,0.7285714285714285,2.0810961723327637,0.0
breast-cancer,rb,3,0.01,78,0.782608695652174,,0.7571428571428571,3.4095311164855957,0.0
breast-cancer,cp,3,0.01,78,0.782608695652174,,0.7571428571428571,8.554702281951904,0.0
breast-cancer,n,3,0.1,78,0.782608695652174,0.6376811594202898,0.6285714285714286,0.3561091423034668,0.0
breast-cancer,rb,3,0.1,78,0.7342995169082126,,0.6285714285714286,1.0419323444366455,0.0
breast-cancer,cp,3,0.1,78,0.7342995169082126,,0.6285714285714286,1.387345314025879,0.0
breast-cancer,n,3,0.0,89,0.7971014492753623,0.6956521739130435,0.6571428571428571,3.696749210357666,0.0
breast-cancer,rb,3,0.0,89,0.8019323671497585,,0.7,2.443502187728882,0.0
breast-cancer,cp,3,0.0,89,0.8019323671497585,,0.7,3.6604721546173096,0.0
breast-cancer,n,3,0.01,89,0.7971014492753623,0.7971014492753623,0.6857142857142857,1.477970838546753,0.0
breast-cancer,rb,3,0.01,89,0.7971014492753623,,0.7142857142857143,2.146883726119995,0.0
breast-cancer,cp,3,0.01,89,0.7971014492753623,,0.7142857142857143,3.7960238456726074,0.0
breast-cancer,n,3,0.1,89,0.717391304347826,0.6811594202898551,0.7142857142857143,0.6690859794616699,0.0
breast-cancer,rb,3,0.1,89,0.7053140096618358,,0.7142857142857143,0.8857593536376953,0.0
breast-cancer,cp,3,0.1,89,0.7053140096618358,,0.7142857142857143,1.8831255435943604,0.0
