instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,4,0.0,37,0.8141025641025641,0.6923076923076923,0.7579617834394905,600.2309203147888,0.0629921259842543
balance-scale,4,0.01,37,0.8012820512820513,0.6858974358974359,0.7579617834394905,600.1744666099548,0.0876978657645266
balance-scale,4,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,38.76246333122253,0.0
balance-scale,4,0.0,42,0.8108974358974359,0.7564102564102564,0.7133757961783439,600.2092378139496,0.0541142607507389
balance-scale,4,0.01,42,0.7788461538461539,0.7435897435897436,0.6751592356687898,600.2021210193634,0.1341314935064918
balance-scale,4,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,63.69691467285156,0.0
balance-scale,4,0.0,53,0.8108974358974359,0.7051282051282052,0.7452229299363057,600.2404403686523,0.0529205067007955
balance-scale,4,0.01,53,0.7788461538461539,0.6474358974358975,0.7133757961783439,600.1471209526062,0.1261217355077089
balance-scale,4,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,37.23007392883301,0.0
balance-scale,5,0.0,37,0.8397435897435898,0.7115384615384616,0.7515923566878981,600.2239677906036,0.1442748091603075
balance-scale,5,0.01,37,0.8108974358974359,0.6987179487179487,0.7261146496815286,600.164698600769,0.2561921779875596
balance-scale,5,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,164.57778096199036,0.0
balance-scale,5,0.0,42,0.8044871794871795,0.7628205128205128,0.6815286624203821,600.2500829696655,0.2151394422310723
breast-cancer,2,0.0,37,0.7898550724637681,0.7246376811594203,0.6714285714285714,1.556590557098389,0.0
breast-cancer,2,0.01,37,0.7898550724637681,0.7246376811594203,0.6714285714285714,1.6261940002441406,0.0
breast-cancer,2,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,0.636707067489624,0.0
breast-cancer,2,0.0,42,0.7971014492753623,0.6811594202898551,0.7142857142857143,1.313835859298706,0.0
breast-cancer,2,0.01,42,0.7971014492753623,0.6811594202898551,0.7142857142857143,1.605910301208496,0.0
