instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
hayes-roth,4,0.1,53,0.75,0.675,0.65,600.5240700244904,0.6964285714285714
hayes-roth,5,0.0,37,0.8375,0.6,0.775,601.2455396652222,1.0
hayes-roth,5,0.01,37,0.875,0.775,0.75,601.2345588207245,0.9289772727272726
hayes-roth,5,0.1,37,0.7375,0.5,0.7,601.2517864704132,0.7052023121387283
hayes-roth,5,0.0,42,0.9,0.425,0.675,601.283704996109,1.0
hayes-roth,5,0.01,42,0.9125,0.65,0.875,601.2256724834442,0.9019230769230768
hayes-roth,5,0.1,42,0.8125,0.675,0.775,601.2411556243896,0.7125000000000008
hayes-roth,5,0.0,53,0.9375,0.625,0.675,601.3848719596863,1.0
hayes-roth,5,0.01,53,0.8375,0.475,0.65,601.2432656288147,0.9543325526932084
hayes-roth,5,0.1,53,0.8,0.775,0.7,601.3065025806427,0.6909090909090908
monks-1,5,0.01,666,1.0,1.0,1.0,603.9624800682068,0.7142857142857143
