id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
71,272,4.3,1,328,3,349,4,565,9,204,0.91,38,68,417,93,310,94,420,36,205,68,1.03,725,104,85,69,138,162,48,14,5,1
72,237,4.36,1,358,3,283,4,602,9,226,1.5,30,78,440,88,293,93,381,37,242,63,0.95,608,115,82,61,124,201,46,15,7,1
73,255,4.3,3,313,3,295,4,590,9,211,1.3,32,65,464,87,331,97,294,35,236,66,0.91,795,120,74,61,154,230,48,15,0,1
74,259,4.24,2,370,3,268,5,540,9,222,1.51,42,73,428,94,335,82,410,38,222,78,1,835,104,72,59,147,212,46,17,2,1
75,289,3.8,2,358,3,301,4,521,9,230,1.36,37,70,436,89,331,97,367,35,169,81,0.91,651,119,73,67,148,210,39,16,3,1
76,269,4.13,1,352,2,272,3,618,9,237,1.24,30,64,487,91,308,95,368,40,241,70,0.82,699,114,69,59,146,196,44,14,1,1
77,258,4.36,3,312,3,269,4,574,8,208,1.2,36,70,406,93,308,92,406,41,186,79,1.03,620,120,87,59,136,216,45,16,3,1
78,284,3.72,3,366,3,308,3,596,9,218,1.42,34,73,394,92,315,96,339,37,229,70,0.79,935,126,67,66,139,202,45,15,0,1
79,262,3.83,2,344,3,327,5,556,9,225,1.35,35,74,456,87,335,100,326,47,226,72,1.06,1003,102,66,64,149,193,50,14,5,1
80,264,4.58,3,331,3,332,4,575,9,196,1.3,33,68,495,97,333,92,342,39,219,77,1.05,709,104,68,60,162,221,39,14,4,1
81,287,4.26,2,343,3,311,3,568,8,221,1.55,36,68,474,94,326,98,419,34,221,67,1.01,645,106,74,67,150,173,44,14,0,1
82,272,4.01,3,353,2,294,5,654,8,196,1.49,36,66,458,82,318,96,382,34,214,67,0.98,647,107,69,66,150,193,44,14,1,1
83,275,4.79,1,371,3,317,5,591,9,218,1.43,38,67,382,101,303,84,392,36,211,73,1.04,499,104,77,68,139,161,46,14,0,1
84,264,4.05,2,305,3,343,4,535,9,219,1.36,37,66,439,94,346,99,377,47,240,76,0.87,897,119,73,61,145,206,45,15,9,1
85,297,4.15,2,326,3,358,4,546,9,206,0.98,34,63,437,96,301,105,368,40,199,79,0.84,842,113,80,58,136,208,40,15,0,1
86,293,3.74,2,356,3,325,4,557,8,195,1.34,30,70,425,95,312,92,375,38,218,76,0.8,827,118,69,62,143,194,45,16,6,1
87,250,4.28,3,352,4,363,5,586,10,221,1.3,34,78,402,98,327,84,363,31,225,79,0.89,758,132,72,59,155,234,44,16,7,1
88,261,3.95,3,375,3,285,5,557,9,223,1.46,38,72,455,92,329,77,341,38,189,76,0.93,935,128,73,62,142,188,45,14,0,1
89,288,4.28,2,361,3,316,4,576,9,213,1.28,34,66,429,86,309,92,343,46,211,76,1.04,674,98,69,61,140,182,39,15,3,1
90,288,3.93,2,328,3,286,4,511,9,223,1.32,42,72,395,92,284,93,324,40,201,72,0.89,935,107,89,66,147,204,46,13,1,1
91,293,4.09,1,344,4,343,4,612,12,199,1.2,40,69,426,91,354,75,424,37,218,62,1.1,618,113,68,61,136,185,42,14,5,1
92,254,4.15,3,336,3,303,5,584,9,225,1.19,37,72,423,89,301,98,392,35,221,58,0.89,744,101,69,60,145,193,35,13,0,1
93,285,3.42,2,336,4,299,4,582,8,228,1.32,37,82,351,99,313,96,349,36,201,75,0.8,827,106,68,61,153,187,45,14,5,1
94,290,4.63,2,357,3,344,4,605,9,218,1.31,36,69,445,98,337,100,336,34,231,79,1.1,679,108,65,61,151,188,47,15,3,1
95,253,4.11,1,342,2,342,4,594,10,208,1.48,38,69,483,88,302,90,334,34,236,71,0.99,683,91,78,55,142,171,52,16,2,1
