ID,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,Class_0 or 1
766,12,4884,2,15,0.484375,11,1
767,11,5293,8,23,1.194375,12,1
768,27,5927,5,114,14.0275,23,1
769,24,5366,6,94,10.1275,25,1
770,26,3488,5,53,3.369375,20,1
771,15,1112,3,39,3.124375,17,1
772,2,265,1,15,2.334375,3,0
773,6,680,3,23,2.644375,9,0
774,5,1085,2,10,0.4875,7,0
775,5,1086,1,7,0.194375,6,1
776,4,700,1,7,0.194375,6,0
777,1,110,1,2,0.0975,1,0
778,15,13439,6,36,2.69,12,0
779,12,4734,3,26,0.9775,17,0
780,2,609,1,2,0.0475,2,0
781,13,8713,1,21,0.549375,15,0
782,2,1089,1,2,0.0475,2,0
783,2,25207,5,5,0.109375,5,0
784,1,288,1,3,0.069375,3,0
785,1,237,1,1,0.024375,1,0
786,1,293,1,1,0.024375,1,0
787,3,1289,4,5,0.109375,5,0
788,6,5302,3,26,1.5275,11,0
790,8,15189,5,31,1.924375,15,1
791,4,3927,3,21,0.799375,12,0
792,8,10583,2,33,1.694375,15,0
793,4,5458,3,10,0.6375,5,0
794,4,6647,4,15,0.784375,8,1
795,9,10305,7,178,38.7475,29,0
796,9,2375,4,35,3.309375,12,0
797,3,21920,8,10,0.5375,6,0
798,3,522,3,6,0.2275,4,0
799,1,1312,4,4,0.24,2,0
800,1,500,2,2,0.0975,1,0
801,4,2014,3,12,0.31,10,0
802,1,576,2,4,0.39,1,0
803,3,1421,2,9,0.524375,4,0
804,17,6918,3,44,1.79,20,0
805,19,17005,6,54,2.5775,26,0
806,7,3237,3,11,0.299375,9,0
807,5,6364,5,10,0.7375,5,0
810,9,2548,2,58,18.5975,9,0
811,10,15454,1,36,1.69,19,0
812,1,10,1,1,0.024375,1,0
813,2,2514.2,1,15,4.134375,3,1
814,1,710,2,19,2.549375,5,0
815,1,3797.32,1,9,0.974375,2,0
816,4,46,1,5,0.159375,4,0
817,1,797,2,6,0.2275,4,0
818,2,7.7,1,2,0.0475,2,0
819,1,163,2,4,0.09,4,0
820,1,67,1,1,0.024375,1,1
821,1,101,3,2,0.0475,2,0
822,2,17,1,3,0.119375,2,0
823,2,193,3,5,0.159375,4,1
824,1,305.4,4,2,0.0975,1,1
825,2,170,1,4,0.09,4,1
826,7,3576,2,20,0.9,11,0
828,3,15375,14,16,1.09,9,0
829,1,220,1,2,0.0475,2,0
831,3,15670,7,12,0.61,6,0
832,2,14415,4,5,0.159375,4,0
833,1,341,1,2,0.0975,1,0
834,1,32605,7,7,0.494375,3,0
835,2,14368,6,3,0.069375,3,1
837,14,15072,4,18,0.8975,9,0
838,5,11117,5,9,0.374375,6,0
839,14,28599,7,45,2.209375,19,1
840,8,28457,9,20,0.85,12,1
841,1,18981,5,3,0.119375,2,1
