id,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,class
773,3,8479,4,7,0.194375,6,1
774,4,2904,1,6,0.2275,4,1
775,1,85.2,1,1,0.024375,1,1
776,5,4398,5,17,0.994375,9,1
777,1,552.3,1,1,0.024375,1,1
778,1,63.4,1,1,0.024375,1,1
779,3,109.5,1,3,0.069375,3,1
780,1,680,4,5,0.159375,4,1
782,10,2555,3,76,11.69,17,1
783,20,3936,4,65,9.634375,11,1
784,3,475.5,1,3,0.069375,3,1
786,1,39,2,2,0.0475,2,1
787,5,1255,1,12,0.96,4,1
788,3,2035,7,9,0.374375,5,1
789,2,3209,4,5,0.209375,3,1
790,3,1683,7,13,0.769375,6,1
791,3,1304,2,13,2.619375,2,1
792,1,16,1,2,0.0975,1,1
793,1,7,1,1,0.024375,1,0
794,1,55,1,4,0.14,3,1
795,1,13.7,1,1,0.024375,1,0
796,2,46.5,1,2,0.0475,2,1
797,6,271,2,9,0.374375,6,1
798,6,4071,3,29,3.999375,10,0
799,4,3928,4,16,0.94,9,1
800,1,131,2,2,0.0975,1,1
801,2,536,1,3,0.119375,2,1
802,12,789.5,1,41,21.974375,3,1
803,3,33.6,1,4,0.09,4,1
805,7,3292,2,18,1.4475,8,1
806,5,611,1,7,0.894375,2,1
807,1,80,1,1,0.024375,1,1
808,1,102,1,1,0.024375,1,1
809,1,110,1,1,0.024375,1,1
810,1,104,1,1,0.024375,1,0
811,2,25.1,1,2,0.0475,2,0
812,2,5,2,3,0.069375,3,0
813,2,3816,2,2,0.0475,2,0
814,1,15,1,1,0.024375,1,0
815,5,445,2,12,0.31,10,0
816,2,10,1,3,0.119375,2,0
817,23,10637,10,102,11.5475,24,0
820,11,4153,2,37,2.269375,16,0
821,4,4326,2,13,0.569375,7,0
822,1,9.96,1,1,0.024375,1,0
823,2,146,1,2,0.0475,2,0
826,5,979.2,2,8,0.46,5,1
827,2,344,1,2,0.0475,2,0
828,16,10410,9,59,4.749375,19,0
829,7,24932,9,20,0.8,12,0
830,1,20.79,2,1,0.024375,1,1
831,2,4212,2,8,0.71,3,1
832,2,3545,2,13,1.569375,4,1
833,3,2491,2,12,1.16,3,1
834,4,3729,1,30,3.8875,9,1
835,2,284.5,2,11,2.449375,2,0
836,1,3672,1,2,0.0975,1,1
837,8,2960,2,28,2.41,12,0
838,12,2570,2,19,1.149375,8,0
839,5,2295,1,13,0.369375,10,1
840,1,375,1,1,0.024375,1,1
841,2,18907,9,117,284.319375,4,0
842,2,1330,2,7,0.444375,4,0
843,1,89,1,1,0.024375,1,0
844,3,1710,3,8,0.91,3,0
845,4,830,1,12,1.46,3,1
846,3,405,5,5,0.159375,4,0
847,1,11,3,2,0.0475,2,0
855,1,24,1,1,0.024375,1,0
856,1,2664,2,12,3.51,1,0
857,7,5592,5,19,1.099375,9,0
858,5,1222,1,14,1.0775,6,0
859,3,1410,1,9,0.524375,4,0
860,3,2159,2,7,0.444375,4,1
